1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
38, minecraft:village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
39, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
40, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
41, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
42, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
43, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
44, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
45, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
46, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
47, twilightforest:hedge_maze, HEADING, header:ignore, 0, 0, 0
48, twilightforest:quest_grove, HEADING, header:ignore, 0, 0, 0
49, twilightforest:mushroom_tower, HEADING, header:ignore, 0, 0, 0
50, twilightforest:small_hollow_hill, HEADING, header:ignore, 0, 0, 0
51, twilightforest:medium_hollow_hill, HEADING, header:ignore, 0, 0, 0
52, twilightforest:large_hollow_hill, HEADING, header:ignore, 0, 0, 0
53, twilightforest:naga_courtyard, HEADING, header:ignore, 0, 0, 0
54, twilightforest:lich_tower, HEADING, header:ignore, 0, 0, 0
55, twilightforest:labyrinth, HEADING, header:ignore, 0, 0, 0
56, twilightforest:hydra_lair, HEADING, header:ignore, 0, 0, 0
57, twilightforest:knight_stronghold, HEADING, header:ignore, 0, 0, 0
58, twilightforest:dark_tower, HEADING, header:ignore, 0, 0, 0
59, twilightforest:yeti_cave, HEADING, header:ignore, 0, 0, 0
60, twilightforest:aurora_palace, HEADING, header:ignore, 0, 0, 0
61, twilightforest:troll_cave, HEADING, header:ignore, 0, 0, 0
62, twilightforest:final_castle, HEADING, header:ignore, 0, 0, 0
63, infernalexp:glowstone_canyon_ruin, HEADING, header:ignore, 0, 0, 0
64, infernalexp:soul_sand_valley_ruin, HEADING, header:ignore, 0, 0, 0
65, infernalexp:bastion_outpost, HEADING, header:ignore, 0, 0, 0
66, infernalexp:strider_altar, HEADING, header:ignore, 0, 0, 0
67, terralith:zpointer/minecraft_plains, HEADING, header:ignore, 0, 0, 0
68, terralith:zpointer/minecraft_frozen_river, HEADING, header:ignore, 0, 0, 0
69, ctov:pillager_outpost_desert, HEADING, header:ignore, 0, 0, 0
70, ctov:pillager_outpost_desert, MONSTER, minecraft:pillager, 5, 1, 1
71, ctov:pillager_outpost_desert, MONSTER, minecraft:evoker, 1, 1, 1
72, ctov:pillager_outpost_desert, MONSTER, minecraft:vindicator, 2, 1, 1
73, ctov:pillager_outpost_desert, MONSTER, minecraft:witch, 2, 1, 1
74, ctov:small/village_mushroom, HEADING, header:ignore, 0, 0, 0
75, ctov:small/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
76, ctov:pillager_outpost_savanna, HEADING, header:ignore, 0, 0, 0
77, ctov:pillager_outpost_savanna, MONSTER, minecraft:pillager, 5, 1, 1
78, ctov:pillager_outpost_savanna, MONSTER, minecraft:evoker, 1, 1, 1
79, ctov:pillager_outpost_savanna, MONSTER, minecraft:vindicator, 2, 1, 1
80, ctov:pillager_outpost_savanna, MONSTER, minecraft:witch, 2, 1, 1
81, terralith:zpointer/terralith_blooming_valley, HEADING, header:ignore, 0, 0, 0
82, terralith:zpointer/terralith_gravel_beach, HEADING, header:ignore, 0, 0, 0
83, beautify:botanist_house_desert, HEADING, header:ignore, 0, 0, 0
84, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
85, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 30, 4, 12
86, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 30, 4, 8
87, ctov:pillager_outpost_plains, HEADING, header:ignore, 0, 0, 0
88, ctov:pillager_outpost_plains, MONSTER, minecraft:pillager, 5, 1, 1
89, ctov:pillager_outpost_plains, MONSTER, minecraft:evoker, 1, 1, 1
90, ctov:pillager_outpost_plains, MONSTER, minecraft:vindicator, 2, 1, 1
91, ctov:pillager_outpost_plains, MONSTER, minecraft:witch, 2, 1, 1
92, idas:tinkers_workshop, HEADING, header:ignore, 0, 0, 0
93, incendium:forbidden_castle, HEADING, header:ignore, 0, 0, 0
94, totw_reworked:ocean, HEADING, header:ignore, 0, 0, 0
95, terralith:zpointer/terralith_brushland, HEADING, header:ignore, 0, 0, 0
96, biomemakeover:mansion, HEADING, header:ignore, 0, 0, 0
97, terralith:zpointer/terralith_frozen_cliffs, HEADING, header:ignore, 0, 0, 0
98, terralith:zpointer/minecraft_sunflower_plains, HEADING, header:ignore, 0, 0, 0
99, terralith:zpointer/terralith_haze_mountain, HEADING, header:ignore, 0, 0, 0
100, idas:pillager_camp, HEADING, header:ignore, 0, 0, 0
101, terralith:zpointer/terralith_cloud_forest, HEADING, header:ignore, 0, 0, 0
102, ctov:small/village_snowy, HEADING, header:ignore, 0, 0, 0
103, ctov:small/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
104, terralith:zpointer/minecraft_dark_forest, HEADING, header:ignore, 0, 0, 0
105, beautify:botanist_house_savanna, HEADING, header:ignore, 0, 0, 0
106, terralith:zpointer/terralith_alpha_islands_winter, HEADING, header:ignore, 0, 0, 0
107, terralith:zpointer/terralith_red_oasis, HEADING, header:ignore, 0, 0, 0
108, idas:apothecary_abode, HEADING, header:ignore, 0, 0, 0
109, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
110, idas:washing_camp, HEADING, header:ignore, 0, 0, 0
111, idas:lumber_camp/lumber_camp_bygredwood, HEADING, header:ignore, 0, 0, 0
112, terralith:zpointer/terralith_savanna_badlands, HEADING, header:ignore, 0, 0, 0
113, idas:bazaar, HEADING, header:ignore, 0, 0, 0
114, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
115, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
116, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
117, terralith:zpointer/minecraft_bamboo_jungle, HEADING, header:ignore, 0, 0, 0
118, explorify:end_shipwreck, HEADING, header:ignore, 0, 0, 0
119, terralith:zpointer/terralith_amethyst_rainforest, HEADING, header:ignore, 0, 0, 0
120, terralith:zpointer/terralith_valley_clearing, HEADING, header:ignore, 0, 0, 0
121, explorify:guide_post_warm, HEADING, header:ignore, 0, 0, 0
122, terralith:zpointer/minecraft_ice_spikes, HEADING, header:ignore, 0, 0, 0
123, terralith:zpointer/terralith_alpine_highlands, HEADING, header:ignore, 0, 0, 0
124, ctov:small/village_underground, HEADING, header:ignore, 0, 0, 0
125, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
126, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
127, idas:treetop_tavern, HEADING, header:ignore, 0, 0, 0
128, terralith:zpointer/terralith_lush_valley, HEADING, header:ignore, 0, 0, 0
129, ctov:large/village_savanna, HEADING, header:ignore, 0, 0, 0
130, ctov:large/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
131, terralith:zpointer/terralith_ancient_sands, HEADING, header:ignore, 0, 0, 0
132, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
133, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
134, ctov:pillager_outpost_snowy, HEADING, header:ignore, 0, 0, 0
135, ctov:pillager_outpost_snowy, MONSTER, minecraft:pillager, 5, 1, 1
136, ctov:pillager_outpost_snowy, MONSTER, minecraft:evoker, 1, 1, 1
137, ctov:pillager_outpost_snowy, MONSTER, minecraft:vindicator, 2, 1, 1
138, ctov:pillager_outpost_snowy, MONSTER, minecraft:witch, 2, 1, 1
139, ctov:small/village_plains, HEADING, header:ignore, 0, 0, 0
140, ctov:small/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
141, idas:lumber_camp/lumber_camp_bopredwood, HEADING, header:ignore, 0, 0, 0
142, nullscape:dragon_skeleton, HEADING, header:ignore, 0, 0, 0
143, ctov:small/village_desert, HEADING, header:ignore, 0, 0, 0
144, ctov:small/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
145, terralith:zpointer/terralith_skylands_spring, HEADING, header:ignore, 0, 0, 0
146, idas:desert_camp/desert_camp_red, HEADING, header:ignore, 0, 0, 0
147, incendium:nether_reactor, HEADING, header:ignore, 0, 0, 0
148, explorify:supply_cache/dark, HEADING, header:ignore, 0, 0, 0
149, terralith:zpointer/terralith_rocky_shrubland, HEADING, header:ignore, 0, 0, 0
150, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
151, ctov:pillager_outpost_beach, HEADING, header:ignore, 0, 0, 0
152, ctov:pillager_outpost_beach, MONSTER, minecraft:pillager, 5, 1, 1
153, ctov:pillager_outpost_beach, MONSTER, minecraft:evoker, 1, 1, 1
154, ctov:pillager_outpost_beach, MONSTER, minecraft:vindicator, 2, 1, 1
155, ctov:pillager_outpost_beach, MONSTER, minecraft:witch, 2, 1, 1
156, idas:ancient_statue/ancient_statue_plains, HEADING, header:ignore, 0, 0, 0
157, ctov:large/village_taiga, HEADING, header:ignore, 0, 0, 0
158, ctov:large/village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
159, terralith:zpointer/minecraft_snowy_plains, HEADING, header:ignore, 0, 0, 0
160, meadow:chapel, HEADING, header:ignore, 0, 0, 0
161, ctov:small/village_jungle, HEADING, header:ignore, 0, 0, 0
162, ctov:small/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
163, ctov:small/village_mountain, HEADING, header:ignore, 0, 0, 0
164, ctov:small/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
165, ctov:large/village_swamp, HEADING, header:ignore, 0, 0, 0
166, ctov:large/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
167, ctov:medium/village_desert, HEADING, header:ignore, 0, 0, 0
168, ctov:medium/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
169, idas:sunken_ship/sunken_ship_ruins, HEADING, header:ignore, 0, 0, 0
170, explorify:supply_cache/forest, HEADING, header:ignore, 0, 0, 0
171, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
172, idas:farmhouse, HEADING, header:ignore, 0, 0, 0
173, terralith:zpointer/terralith_desert_canyon, HEADING, header:ignore, 0, 0, 0
174, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
175, totw_reworked:derelict_grass, HEADING, header:ignore, 0, 0, 0
176, terralith:zpointer/minecraft_wooded_badlands, HEADING, header:ignore, 0, 0, 0
177, meadow:chalet, HEADING, header:ignore, 0, 0, 0
178, structory:outcast_villager_grassy, HEADING, header:ignore, 0, 0, 0
179, terralith:zpointer/minecraft_river, HEADING, header:ignore, 0, 0, 0
180, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
181, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 1, 1, 1
182, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 1, 1, 1
183, terralith:zpointer/minecraft_snowy_beach, HEADING, header:ignore, 0, 0, 0
184, idas:ancient_mines, HEADING, header:ignore, 0, 0, 0
185, idas:ancient_mines, MONSTER, minecraft:silverfish, 1, 1, 1
186, idas:ancient_mines, MONSTER, quark:wraith, 1, 1, 1
187, bakery:bakery, HEADING, header:ignore, 0, 0, 0
188, bakery:bakery, CREATURE, minecraft:pig, 1, 1, 4
189, hexerei:witch_hut, HEADING, header:ignore, 0, 0, 0
190, terralith:zpointer/minecraft_meadow, HEADING, header:ignore, 0, 0, 0
191, idas:castle, HEADING, header:ignore, 0, 0, 0
192, ctov:large/village_mushroom, HEADING, header:ignore, 0, 0, 0
193, ctov:large/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
194, terralith:zpointer/minecraft_ocean, HEADING, header:ignore, 0, 0, 0
195, idas:lumber_camp/lumber_camp_dark_oak, HEADING, header:ignore, 0, 0, 0
196, terralith:zpointer/terralith_shield, HEADING, header:ignore, 0, 0, 0
197, terralith:zpointer/terralith_skylands, HEADING, header:ignore, 0, 0, 0
198, terralith:zpointer/minecraft_badlands, HEADING, header:ignore, 0, 0, 0
199, ctov:large/village_mountain, HEADING, header:ignore, 0, 0, 0
200, ctov:large/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
201, terralith:zpointer/minecraft_desert, HEADING, header:ignore, 0, 0, 0
202, terralith:zpointer/terralith_white_mesa, HEADING, header:ignore, 0, 0, 0
203, terralith:zpointer/terralith_temperate_highlands, HEADING, header:ignore, 0, 0, 0
204, explorify:mangrove_hut, HEADING, header:ignore, 0, 0, 0
205, terralith:zpointer/terralith_windswept_spires, HEADING, header:ignore, 0, 0, 0
206, environmental:log_cabin, HEADING, header:ignore, 0, 0, 0
207, meadow:monument, HEADING, header:ignore, 0, 0, 0
208, meadow:monument, CREATURE, minecraft:pig, 1, 1, 4
209, structory:taiga_ruin_underground, HEADING, header:ignore, 0, 0, 0
210, terralith:zpointer/minecraft_windswept_forest, HEADING, header:ignore, 0, 0, 0
211, terralith:zpointer/terralith_white_cliffs, HEADING, header:ignore, 0, 0, 0
212, biomemakeover:sunken_ruin, HEADING, header:ignore, 0, 0, 0
213, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
214, terralith:zpointer/minecraft_old_growth_pine_taiga, HEADING, header:ignore, 0, 0, 0
215, terralith:zpointer/terralith_sandstone_valley, HEADING, header:ignore, 0, 0, 0
216, integrated_stronghold:stronghold, HEADING, header:ignore, 0, 0, 0
217, integrated_stronghold:stronghold, MONSTER, minecraft:silverfish, 1, 1, 3
218, integrated_stronghold:stronghold, MONSTER, minecraft:enderman, 1, 1, 1
219, idas:redhorn_guild, HEADING, header:ignore, 0, 0, 0
220, terralith:zpointer/terralith_fractured_savanna, HEADING, header:ignore, 0, 0, 0
221, terralith:zpointer/terralith_scarlet_mountains, HEADING, header:ignore, 0, 0, 0
222, terralith:zpointer/minecraft_eroded_badlands, HEADING, header:ignore, 0, 0, 0
223, beautify:botanist_house_snowy, HEADING, header:ignore, 0, 0, 0
224, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
225, terralith:zpointer/minecraft_old_growth_spruce_taiga, HEADING, header:ignore, 0, 0, 0
226, ars_nouveau:guardian_wilden_den, HEADING, header:ignore, 0, 0, 0
227, ars_nouveau:guardian_wilden_den, MONSTER, ars_nouveau:wilden_guardian, 5, 1, 3
228, bakery:oat_field, HEADING, header:ignore, 0, 0, 0
229, bakery:oat_field, CREATURE, minecraft:pig, 1, 1, 4
230, terralith:zpointer/minecraft_cold_ocean, HEADING, header:ignore, 0, 0, 0
231, terralith:zpointer/minecraft_snowy_slopes, HEADING, header:ignore, 0, 0, 0
232, beautify:botanist_house_taiga, HEADING, header:ignore, 0, 0, 0
233, ars_nouveau:stalker_wilden_den, HEADING, header:ignore, 0, 0, 0
234, ars_nouveau:stalker_wilden_den, MONSTER, ars_nouveau:wilden_stalker, 5, 3, 3
235, terralith:zpointer/terralith_orchid_swamp, HEADING, header:ignore, 0, 0, 0
236, ctov:pillager_outpost_jungle, HEADING, header:ignore, 0, 0, 0
237, ctov:pillager_outpost_jungle, MONSTER, minecraft:pillager, 5, 1, 1
238, ctov:pillager_outpost_jungle, MONSTER, minecraft:evoker, 1, 1, 1
239, ctov:pillager_outpost_jungle, MONSTER, minecraft:vindicator, 2, 1, 1
240, ctov:pillager_outpost_jungle, MONSTER, minecraft:witch, 2, 1, 1
241, biomemakeover:ghost_town, HEADING, header:ignore, 0, 0, 0
242, biomemakeover:ghost_town, MONSTER, biomemakeover:ghost, 8, 1, 1
243, terralith:zpointer/minecraft_beach, HEADING, header:ignore, 0, 0, 0
244, ctov:medium/village_snowy, HEADING, header:ignore, 0, 0, 0
245, ctov:medium/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
246, terralith:zpointer/terralith_birch_taiga, HEADING, header:ignore, 0, 0, 0
247, friendsandfoes:iceologer_cabin, HEADING, header:ignore, 0, 0, 0
248, friendsandfoes:iceologer_cabin, MONSTER, minecraft:pig, 1, 1, 1
249, terralith:zpointer/terralith_ice_marsh, HEADING, header:ignore, 0, 0, 0
250, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
251, explorify:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
252, idas:brickhouse, HEADING, header:ignore, 0, 0, 0
253, terralith:zpointer/minecraft_savanna, HEADING, header:ignore, 0, 0, 0
254, ctov:pillager_outpost_mesa, HEADING, header:ignore, 0, 0, 0
255, ctov:pillager_outpost_mesa, MONSTER, minecraft:pillager, 5, 1, 5
256, ctov:pillager_outpost_mesa, MONSTER, minecraft:evoker, 1, 1, 1
257, ctov:pillager_outpost_mesa, MONSTER, minecraft:vindicator, 2, 1, 3
258, ctov:pillager_outpost_mesa, MONSTER, minecraft:witch, 2, 1, 1
259, ctov:medium/village_swamp, HEADING, header:ignore, 0, 0, 0
260, ctov:medium/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
261, terralith:zpointer/minecraft_swamp, HEADING, header:ignore, 0, 0, 0
262, terralith:zpointer/terralith_skylands_autumn, HEADING, header:ignore, 0, 0, 0
263, ctov:medium/village_mushroom, HEADING, header:ignore, 0, 0, 0
264, ctov:medium/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
265, idas:underground_camp/underground_camp, HEADING, header:ignore, 0, 0, 0
266, idas:desert_market/desert_market_orange, HEADING, header:ignore, 0, 0, 0
267, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
268, ctov:medium/village_underground, HEADING, header:ignore, 0, 0, 0
269, ctov:medium/village_mountain, HEADING, header:ignore, 0, 0, 0
270, ctov:medium/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
271, explorify:mausoleum, HEADING, header:ignore, 0, 0, 0
272, terralith:zpointer/terralith_moonlight_grove, HEADING, header:ignore, 0, 0, 0
273, terralith:zpointer/terralith_jungle_mountains, HEADING, header:ignore, 0, 0, 0
274, terralith:zpointer/terralith_sakura_valley, HEADING, header:ignore, 0, 0, 0
275, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
276, terralith:zpointer/terralith_mirage_isles, HEADING, header:ignore, 0, 0, 0
277, idas:lumber_camp/lumber_camp_oak, HEADING, header:ignore, 0, 0, 0
278, terralith:zpointer/terralith_glacial_chasm, HEADING, header:ignore, 0, 0, 0
279, explorify:guide_post_cold, HEADING, header:ignore, 0, 0, 0
280, idas:sunken_ship/sunken_ship, HEADING, header:ignore, 0, 0, 0
281, idas:sunken_ship/sunken_ship, MONSTER, quark:wraith, 5, 1, 2
282, terralith:zpointer/terralith_alpine_grove, HEADING, header:ignore, 0, 0, 0
283, structory:firetower, HEADING, header:ignore, 0, 0, 0
284, terralith:zpointer/minecraft_frozen_ocean, HEADING, header:ignore, 0, 0, 0
285, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
286, idas:labyrinth, HEADING, header:ignore, 0, 0, 0
287, idas:cottage, HEADING, header:ignore, 0, 0, 0
288, idas:necromancers_spire, HEADING, header:ignore, 0, 0, 0
289, idas:necromancers_spire, MONSTER, quark:wraith, 10, 1, 1
290, swampier_swamps:village_swamp, HEADING, header:ignore, 0, 0, 0
291, ctov:large/village_dark_forest, HEADING, header:ignore, 0, 0, 0
292, ctov:large/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
293, terralith:zpointer/terralith_siberian_grove, HEADING, header:ignore, 0, 0, 0
294, totw_reworked:regular, HEADING, header:ignore, 0, 0, 0
295, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
296, terralith:zpointer/minecraft_snowy_taiga, HEADING, header:ignore, 0, 0, 0
297, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
298, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 30, 4, 12
299, terralith:zpointer/terralith_emerald_peaks, HEADING, header:ignore, 0, 0, 0
300, explorify:campsite, HEADING, header:ignore, 0, 0, 0
301, incendium:sanctum, HEADING, header:ignore, 0, 0, 0
302, incendium:sanctum, MONSTER, minecraft:skeleton, 2, 1, 1
303, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
304, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 30, 4, 12
305, structory:northern_ruin, HEADING, header:ignore, 0, 0, 0
306, explorify:supply_cache/desert, HEADING, header:ignore, 0, 0, 0
307, idas:hermits_hollow, HEADING, header:ignore, 0, 0, 0
308, terralith:zpointer/terralith_ashen_savanna, HEADING, header:ignore, 0, 0, 0
309, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
310, idas:desert_camp/desert_camp_bygwindswept, HEADING, header:ignore, 0, 0, 0
311, terralith:zpointer/terralith_shrubland, HEADING, header:ignore, 0, 0, 0
312, terralith:zpointer/terralith_steppe, HEADING, header:ignore, 0, 0, 0
313, ctov:large/village_plains, HEADING, header:ignore, 0, 0, 0
314, ctov:large/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
315, idas:underground_camp/underground_camp_deep, HEADING, header:ignore, 0, 0, 0
316, terralith:zpointer/minecraft_dripstone_caves, HEADING, header:ignore, 0, 0, 0
317, terralith:zpointer/terralith_desert_spires, HEADING, header:ignore, 0, 0, 0
318, ars_nouveau:hunter_wilden_den, HEADING, header:ignore, 0, 0, 0
319, ars_nouveau:hunter_wilden_den, MONSTER, ars_nouveau:wilden_hunter, 5, 3, 3
320, terralith:zpointer/minecraft_grove, HEADING, header:ignore, 0, 0, 0
321, terralith:zpointer/terralith_alpha_islands, HEADING, header:ignore, 0, 0, 0
322, idas:hunters_cabin, HEADING, header:ignore, 0, 0, 0
323, meadow:logging_camp, HEADING, header:ignore, 0, 0, 0
324, meadow:logging_camp, CREATURE, minecraft:pig, 1, 1, 4
325, terralith:zpointer/terralith_skylands_winter, HEADING, header:ignore, 0, 0, 0
326, terralith:zpointer/terralith_lavender_valley, HEADING, header:ignore, 0, 0, 0
327, explorify:farmstead, HEADING, header:ignore, 0, 0, 0
328, ctov:pillager_outpost_dark_forest, HEADING, header:ignore, 0, 0, 0
329, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:pillager, 5, 1, 1
330, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:evoker, 1, 1, 1
331, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:vindicator, 2, 1, 1
332, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:witch, 2, 1, 1
333, explorify:dark_forest_settlement, HEADING, header:ignore, 0, 0, 0
334, ctov:small/village_beach, HEADING, header:ignore, 0, 0, 0
335, ctov:small/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
336, terralith:zpointer/terralith_highlands, HEADING, header:ignore, 0, 0, 0
337, terralith:zpointer/minecraft_old_growth_birch_forest, HEADING, header:ignore, 0, 0, 0
338, terralith:zpointer/minecraft_deep_ocean, HEADING, header:ignore, 0, 0, 0
339, meadow:observation_post, HEADING, header:ignore, 0, 0, 0
340, meadow:observation_post, CREATURE, minecraft:pig, 1, 1, 4
341, totw_reworked:ocean_warm, HEADING, header:ignore, 0, 0, 0
342, idas:desert_market/desert_market_red, HEADING, header:ignore, 0, 0, 0
343, terralith:zpointer/minecraft_forest, HEADING, header:ignore, 0, 0, 0
344, terralith:zpointer/terralith_gravel_desert, HEADING, header:ignore, 0, 0, 0
345, ctov:large/village_jungle, HEADING, header:ignore, 0, 0, 0
346, ctov:large/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
347, explorify:ruins, HEADING, header:ignore, 0, 0, 0
348, terralith:zpointer/terralith_shield_clearing, HEADING, header:ignore, 0, 0, 0
349, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
350, explorify:tavern, HEADING, header:ignore, 0, 0, 0
351, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
352, idas:animal_den/foxhound_den, HEADING, header:ignore, 0, 0, 0
353, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
354, ctov:pillager_outpost_badlands, HEADING, header:ignore, 0, 0, 0
355, ctov:pillager_outpost_badlands, MONSTER, minecraft:pillager, 5, 1, 5
356, ctov:pillager_outpost_badlands, MONSTER, minecraft:evoker, 1, 1, 1
357, ctov:pillager_outpost_badlands, MONSTER, minecraft:vindicator, 2, 1, 3
358, ctov:pillager_outpost_badlands, MONSTER, minecraft:witch, 2, 1, 1
359, terralith:zpointer/terralith_bryce_canyon, HEADING, header:ignore, 0, 0, 0
360, totw_reworked:ice, HEADING, header:ignore, 0, 0, 0
361, idas:desert_market/desert_market, HEADING, header:ignore, 0, 0, 0
362, idas:ancient_statue/ancient_statue_desert, HEADING, header:ignore, 0, 0, 0
363, ctov:medium/village_savanna, HEADING, header:ignore, 0, 0, 0
364, ctov:medium/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
365, idas:animal_den/polar_bear_den, HEADING, header:ignore, 0, 0, 0
366, ctov:medium/village_dark_forest, HEADING, header:ignore, 0, 0, 0
